0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_雪华,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
      这般资质确实罕见,0,0,3,0,0,1,3,0,0,0,0,0
    只可惜沾染了尘俗之气,1,0,3,0,0,1,3,0,0,0,0,0
  尘俗之气么,0,0,3,1,4,0,0,0,0,0,0,0
  真是辛辣的评语,0,0,3,1,4,0,0,0,0,0,0,0
  而那位僧侣小姐,1,0,3,0,0,1,5,0,0,0,0,0
  更是堕入了邪道,1,0,3,0,0,1,5,0,0,0,0,0
 居然说是邪道……,0,1,4,0,0,0,0,0,0,0,0,0
    十天尊能看穿一切,1,0,3,0,0,1,0,0,0,0,0,0
    尤其是人心深处的动摇,1,0,3,0,0,1,0,0,0,0,0,0
    “只要能先解除封冻,0,0,3,0,0,1,1,0,0,0,0,0
        其他一切都好说”,0,0,3,0,0,1,1,0,0,0,0,0
    既然没有做好觉悟,1,0,3,0,0,1,2,0,0,0,0,0
    抓捕逃犯更是无稽之谈,1,0,3,0,0,1,2,0,0,0,0,0
倘若您确实能洞悉人的全部,0,1,3,0,0,0,0,0,0,0,0,0
那就好好看看我的内在,0,1,3,0,0,0,0,0,0,0,0,0
   究竟是虚妄,1,1,7,0,0,0,0,0,0,0,0,1
   还是赤子真心！,1,1,7,0,0,0,0,0,0,0,0,1
    为了守护珍视之物而战,0,0,3,0,0,1,1,0,0,0,0,0
    那份意志是强大的,0,0,3,0,0,1,1,0,0,0,0,0
   我并不否认,1,0,3,0,0,1,0,0,0,0,0,0
   这般真诚的信念,1,0,3,0,0,1,0,0,0,0,0,0
      既然如此,0,1,2,0,0,0,0,0,0,0,0,0
      那为何……,0,1,2,0,0,0,0,0,0,0,0,0
     因为你们所要面对的,1,0,3,0,0,1,1,0,0,0,0,0
     是得到至高神赐福的不败传说,1,0,3,0,0,1,1,0,0,0,0,0
    日月为之颠倒,0,0,3,0,0,1,2,0,0,0,0,0
    天地为之倾覆,0,0,3,0,0,1,2,0,0,0,0,0
没有我的冰封之力,1,0,3,0,0,1,1,0,0,0,0,0
你们毫无胜算,1,0,3,0,0,1,1,0,0,0,0,0
守护幻想乡的单纯想法,0,0,3,0,0,1,0,0,0,0,0,0
最终会带来对失去它的恐惧,0,0,3,0,0,1,0,0,0,0,0,0
    这种混乱的情绪,1,0,3,0,0,1,2,0,0,0,0,0
    在最后一刻会成长为巨大的枷锁,1,0,3,0,0,1,2,0,0,0,0,0
    而你们会因为这样的原因而输掉,1,0,3,0,0,1,2,0,0,0,0,0
你们自认为能挑战至高神的权威吗？,0,0,3,0,0,1,1,0,0,0,0,0
既然如此,1,0,3,1,3,0,0,0,0,0,0,0
就让您见识一下我们的信念,1,0,3,1,3,0,0,0,0,0,0,0
  哪怕对手是不败的传说,0,1,11,0,3,0,0,0,0,0,0,0
  守护众生的信念将指引我去往胜利,0,1,11,0,3,0,0,0,0,0,0,0
      既然如此，我将降下冰封试炼,1,0,12,0,3,1,3,0,0,0,0,0
 你们的信念究竟是烈火真金,0,0,12,0,3,1,1,0,0,0,0,0
 还是混乱的枷锁,0,0,12,0,3,1,1,0,0,0,0,0
   就在世界终焉的极致之时,1,0,12,0,3,1,3,0,0,0,0,1
   来见个分晓！,1,0,12,0,3,1,3,0,0,0,0,1
 梦想吧，起舞吧，战斗吧！,0,0,12,0,3,1,4,0,0,0,-1,1
      深渊净土，地狱莲华,1,0,12,0,3,1,8,0,0,0,1,1
      度人无量，誓愿无边！,0,0,12,0,3,1,8,0,0,0,0,1
