0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,6BossA：,7表情_雪华,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
     我承认你们的魄力,0,0,0,0,6,1,3,0,0,0,0,0
   但是我劝你们先认清自己的实力,1,0,0,0,2,1,1,0,0,0,0,0
   好好看看自己有几斤几两吧,1,0,0,0,2,1,1,0,0,0,0,0
     你说什么？！,0,1,2,0,2,0,0,0,0,0,0,0
 地上温室中的腐草之荧光,1,0,2,0,2,1,3,0,0,0,0,0
 又如何能战胜天空之皓月？,1,0,2,0,2,1,3,0,0,0,0,0
  居然把幻想乡说成温室,0,0,2,1,2,0,3,0,0,0,0,0
  这般辛辣的评价真是无情,0,0,2,1,2,0,3,0,0,0,0,0
      如果你们去抓捕逃犯,1,0,2,0,2,1,0,0,0,0,0,0
      那注定是飞蛾扑火,1,0,2,0,2,1,0,0,0,0,0,0
     她是被镇压千万年的战神,0,0,2,0,2,1,1,0,0,0,0,0
     至高神的赐福更让她所向无敌,0,0,2,0,2,1,1,0,0,0,0,0
 吞噬日月的灾星,1,0,2,0,2,1,2,0,0,0,0,1
 毁天灭地的破坏神,1,0,2,0,2,1,2,0,0,0,0,0
如果没有我封冻万物的能力,0,0,2,0,2,1,1,0,0,0,0,0
天道的毁灭就在一瞬,0,0,2,0,2,1,1,0,0,0,0,0
  你们要如何与这样的敌人战斗呢？,1,0,2,0,2,1,3,0,0,0,0,0
    竟然是如此强大的对手,0,0,2,1,1,0,0,0,0,0,0,0
    的确令人生畏,0,0,2,1,1,0,0,0,0,0,0,0
     然而战斗也有战斗之法,1,0,2,1,4,0,0,0,0,0,0,0
     被镇压千万年，其技法必有生疏,1,0,2,1,4,0,0,0,0,0,0,0
  而我们也算是身经百战了,0,0,2,1,0,0,0,0,0,0,0,0
  这便是取胜之机,0,0,2,1,0,0,0,0,0,0,0,0
      我们一直以来的战斗,1,1,1,0,0,0,0,0,0,0,0,0
      都是有意义的,1,1,1,0,0,0,0,0,0,0,0,0
    无数解决异变的经验会带来胜利,0,1,5,0,0,0,0,0,0,0,0,0
    这也是取胜之机,0,1,5,0,0,0,0,0,0,0,0,0
 说得不错,1,0,0,0,0,1,0,0,0,0,0,0
 战斗乃是一门艺术,1,0,0,0,0,1,0,0,0,0,0,0
热情时激昂如烈火,0,0,0,0,0,1,5,0,0,0,0,0
冷静时沉稳如寒冰,0,0,0,0,0,1,5,0,0,0,0,0
    但是你们的战斗技法,1,0,0,0,0,1,3,0,0,0,0,0
    是否能在终焉之时起舞,1,0,0,0,0,1,3,0,0,0,0,0
      还要通过最后一关,0,0,0,0,0,1,8,0,0,0,0,1
      名为“极寒”的试炼！,0,0,0,0,0,1,8,0,0,0,0,1
 梦想吧，起舞吧，战斗吧！,1,0,0,0,0,1,8,0,0,0,-1,1
      深渊净土，地狱莲华,0,0,0,0,0,1,8,0,0,0,1,1
      度人无量，誓愿无边！,1,0,0,0,0,1,8,0,0,0,0,1
