0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,6BossA：,7表情_雪华,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
     我承认你们的魄力,0,0,0,0,6,1,3,0,0,0,0,0
 这话该反过来说吧,1,1,2,0,6,0,0,0,0,0,0,0
 现在是地狱在干涉幻想乡,1,1,2,0,6,0,0,0,0,0,0,0
你们自己失误放走了逃犯,0,0,2,1,1,0,0,0,0,0,0,0
却要让无辜生灵来蒙受损失,0,0,2,1,1,0,0,0,0,0,0,0
    幻想乡因你的冰封已经岌岌可危,1,0,2,1,2,0,0,0,0,0,0,0
    肆意妄为也要有个限度吧！,1,0,2,1,2,0,0,0,0,0,0,0
强者就能为所欲为,0,0,2,0,2,1,1,0,0,0,0,0
这便是地狱的真理,0,0,2,0,2,1,1,0,0,0,0,0
    地上那脆弱的温室,1,0,2,0,2,1,3,0,0,0,0,0
    承受不了冰冷的铁与血,1,0,2,0,2,1,3,0,0,0,0,0
  居然把幻想乡说成温室！,0,1,2,0,2,0,0,0,0,0,0,0
  地上界的净土化,1,0,2,0,2,1,0,0,0,0,0,0
  是既定的方针,1,0,2,0,2,1,0,0,0,0,0,0
    弱小的人类和神明,0,0,2,0,2,1,1,0,0,0,0,0
    还妄图插手地狱的决定,0,0,2,0,2,1,1,0,0,0,0,0
       真是可笑！,1,0,2,0,2,1,3,0,0,0,0,0
  尝试用口舌说服地狱之主,0,0,2,1,3,0,3,0,0,0,0,0
  我也觉得这确实可笑,0,0,2,1,3,0,3,0,0,0,0,0
幻想乡已经濒临破碎,1,0,2,1,4,0,3,0,0,0,0,0
无意义的计策只会浪费时间,1,0,2,1,4,0,3,0,0,0,0,0
    何必把事情变得复杂？,0,1,3,0,2,0,3,0,0,0,0,0
     既然冰封一切的黑幕就在眼前,1,1,1,0,2,0,3,0,0,0,0,0
     那么办法已经显而易见了,1,1,1,0,2,0,3,0,0,0,0,0
    果然还是要用火力来决出胜负！,0,1,2,0,2,0,3,0,0,0,0,0
  解决地狱的异变,1,0,2,1,2,0,3,0,0,0,0,0
  确实还是要用地狱的风格,1,0,2,1,2,0,3,0,0,0,0,0
      既然你认为我们很弱小,0,0,2,1,1,0,3,0,0,0,0,1
      那就让你见识一下北斗之力！,0,0,2,1,1,0,3,0,0,0,0,1
   人类对抗神明,1,0,2,0,2,1,2,0,0,0,0,0
   北斗反抗太一,1,0,2,0,2,1,2,0,0,0,0,0
    六道间蔓延的斗争心,0,0,2,0,2,1,3,0,0,0,0,0
    燃起了“修罗”的烈火,0,0,2,0,2,1,3,0,0,0,0,0
   在末日到来之际,1,0,2,0,2,1,8,0,0,0,-1,1
   吾将再一次冰封“修罗”！,1,0,2,0,2,1,8,0,0,0,0,1
      深渊净土，地狱莲华,0,0,2,0,2,1,8,0,0,0,1,1
      度人无量，誓愿无边！,1,0,2,0,2,1,8,0,0,0,0,1
