0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,6BossA：,7表情_雪华,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
      这般资质确实罕见,0,0,3,0,0,1,3,0,0,0,0,0
    只可惜沾染了尘俗之气,1,0,3,0,0,1,3,0,0,0,0,0
  尘俗之气么,0,0,3,1,4,0,0,0,0,0,0,0
  真是辛辣的评语,0,0,3,1,4,0,0,0,0,0,0,0
  而那位僧侣小姐,1,0,3,0,0,1,5,0,0,0,0,0
  更是堕入了邪道,1,0,3,0,0,1,5,0,0,0,0,0
 居然说是邪道……,0,1,4,0,0,0,0,0,0,0,0,0
    十天尊能看穿一切,1,0,3,0,0,1,0,0,0,0,0,0
    尤其是人心深处的动摇,1,0,3,0,0,1,0,0,0,0,0,0
    “只要能先解除封冻,0,0,3,0,0,1,1,0,0,0,0,0
        其他一切都好说”,0,0,3,0,0,1,1,0,0,0,0,0
    既然没有做好觉悟,1,0,3,0,0,1,2,0,0,0,0,0
    抓捕逃犯更是无稽之谈,1,0,3,0,0,1,2,0,0,0,0,0
 但既然我们利害一致,0,0,3,1,2,0,0,0,0,0,0,0
 不试试又怎么会知道结果？,0,0,3,1,2,0,0,0,0,0,0,0
 意志薄弱的卒子,1,0,3,0,0,1,2,0,0,0,0,0
 又有何尝试必要？,1,0,3,0,0,1,2,0,0,0,0,0
  地上界的净土化,0,0,3,0,0,1,1,0,0,0,0,0
  不容动摇,0,0,3,0,0,1,1,0,0,0,0,0
    看来谈不拢啊,1,0,3,1,0,0,0,0,0,0,0,0
     那只能言尽于此,0,0,3,1,3,0,0,0,0,0,0,0
     准备使用第二方案了,0,0,3,1,3,0,0,0,0,0,0,0
 剑比笔更强,1,0,3,1,7,0,0,0,0,0,0,0
 行动比言语更有力,1,0,3,1,7,0,0,0,0,0,0,0
  呵，盲目高估自己的实力,0,0,3,0,0,1,6,0,0,0,0,0
  还要打算诉诸武力么？,0,0,3,0,0,1,6,0,0,0,0,0
     看来地上的悟道者,1,0,3,0,0,1,2,0,0,0,0,0
     也只有井底之蛙般的眼界罢了,1,0,3,0,0,1,2,0,0,0,0,0
  我等自然晓得地狱的恐怖,0,0,3,1,0,0,0,0,0,0,0,0
     但为了世间的大义,1,0,3,1,3,0,0,0,0,0,0,1
     和地狱之主过招也不在话下！,1,0,3,1,3,0,0,0,0,0,0,1
     只要打倒主谋,0,1,11,0,3,0,0,0,0,0,0,0
     幻想乡就能恢复和平,0,1,11,0,3,0,0,0,0,0,0,0
     为了命莲寺的伙伴们,1,1,15,0,3,0,0,0,0,0,0,1
     我绝不会手下留情！,1,1,15,0,3,0,0,0,0,0,0,1
      意志坚定的飞蛾扑火,0,0,15,0,3,1,4,0,0,0,0,0
      有趣，实在是有趣！,0,0,15,0,3,1,4,0,0,0,0,0
 在这大莲华地狱翩翩起舞,1,0,15,0,3,1,3,0,0,0,0,0
 但最终注定归于虚无的泡沫,1,0,15,0,3,1,3,0,0,0,0,0
     拼命挣扎吧,0,0,15,0,3,1,8,0,0,0,-1,1
     你们的终点只有绝望！,0,0,15,0,3,1,8,0,0,0,0,1
      深渊净土，地狱莲华,1,0,15,0,3,1,8,0,0,0,1,1
      度人无量，誓愿无边！,0,0,15,0,3,1,8,0,0,0,0,1
